Word,Phonetic,Meaning,POS,Example,Distractor1,Distractor2,Distractor3
Money,/ˈmʌn.i/,Tiền bạc,Danh từ,I need money to buy food.,Thời gian,Công việc,Sức khỏe
Price,/praɪs/,Giá cả,Danh từ,What is the price of this book?,Sản phẩm,Hóa đơn,Tiền lương
Buy,/baɪ/,Mua,Động từ,She wants to buy a new coat.,Bán,Đổi,Vay
Sell,/sel/,Bán,Động từ,They sell fresh fruits here.,Mua,Tặng,Thuê
Pay,/peɪ/,Trả tiền / Thanh toán,Động từ,Can I pay with a credit card?,Mượn,Nợ,Rút tiền
Bank,/bæŋk/,Ngân hàng,Danh từ,He goes to the bank to deposit money.,Bệnh viện,Trường học,Siêu thị
Cost,/kɒst/,Chi phí / Tốn tiền,Danh từ,The cost of living is high.,Lợi nhuận,Thu nhập,Khuyến mãi
Cash,/kæʃ/,Tiền mặt,Danh từ,I have no cash in my wallet.,Thẻ tín dụng,Hóa đơn,Tiền tiết kiệm
Shop,/ʃɒp/,Cửa hàng,Danh từ,My uncle owns a small shop.,Ngân hàng,Văn phòng,Nhà máy
Coin,/kɔɪn/,Tiền xu,Danh từ,He put a coin into the vending machine.,Tiền giấy,Ví tiền,Tài khoản
Market,/ˈmɑː.kɪt/,Chợ / Thị trường,Danh từ,She buys vegetables at the local market.,Công ty,Trường học,Nhà hàng
Cheap,/tʃiːp/,Rẻ,Tính từ,This shirt is very cheap.,Đắt,Đẹp,Cũ
Expensive,/ɪkˈspen.sɪv/,Đắt tiền,Tính từ,That car is too expensive for me.,Rẻ,Nhỏ,Nhẹ
Free,/friː/,Miễn phí,Tính từ,Water is free at this restaurant.,Đắt,Giảm giá,Tính phí
Rich,/rɪtʃ/,Giàu có,Tính từ,He is a very rich businessman.,Nghèo,Trẻ,Bận rộn
Poor,/pɔːr/,Nghèo,Tính từ,The government helps poor families.,Giàu,Mạnh,Cao
Card,/kɑːd/,Thẻ (ngân hàng),Danh từ,You can pay by card.,Tiền mặt,Hóa đơn,Sổ tiết kiệm
Save,/seɪv/,Tiết kiệm (tiền),Động từ,I save money to buy a computer.,Tiêu xài,Bán,Vay
Spend,/spend/,Tiêu (tiền),Động từ,Don't spend all your money at once.,Tiết kiệm,Kiếm tiền,Mượn
Job,/dʒɒb/,Công việc,Danh từ,He is looking for a new job.,Tiền lương,Công ty,Đồng nghiệp
