Word,Phonetic,Meaning,POS,Example,Distractor1,Distractor2,Distractor3
Passport,/ˈpæs.pɔːrt/,Hộ chiếu,Danh từ,"You must show your passport at the border control.",Căn cước công dân,Bằng lái xe,Vé máy bay
Airport,/ˈer.pɔːrt/,Sân bay,Danh từ,"We arrived at the airport two hours before the flight.",Bến xe khách,Ga tàu hỏa,Cảng biển
Hotel,/hoʊˈtel/,Khách sạn,Danh từ,"They booked a luxury hotel near the beach.",Nhà hàng,Bệnh viện,Nhà sách
Luggage,/ˈlʌɡ.ɪdʒ/,Hành lý,Danh từ,"Please make sure your luggage is properly tagged.",Vé tham quan,Tiền ngoại tệ,Bản đồ du lịch
Ticket,/ˈtɪk.ɪt/,Vé xe / vé tàu / vé máy bay,Danh từ,"I bought a one-way train ticket to Paris.",Hóa đơn thanh toán,Thẻ ngân hàng,Đơn đặt hàng
Tourist,/ˈtʊr.ɪst/,Khách du lịch,Danh từ,"Millions of tourists visit this ancient city every year.",Hướng dẫn viên,Cảnh sát,Dân địa phương
Flight,/flaɪt/,Chuyến bay,Danh từ,"Our flight to Tokyo was delayed by two hours.",Chuyến tàu hỏa,Chuyến xe buýt,Chuyến phà
Destination,/ˌdes.təˈneɪ.ʃən/,Điểm đến,Danh từ,"Hawaii is a popular holiday destination for families.",Điểm xuất phát,Trạm dừng chân,Tuyến đường đi
Souvenir,/ˌsuː.vəˈnɪr/,Quà lưu niệm,Danh từ,"I bought a miniature Eiffel Tower as a souvenir.",Đồ ăn nhanh,Hành lý xách tay,Thiệp mời
Reservation,/ˌrez.ərˈveɪ.ʃən/,Sự đặt chỗ / phòng,Danh từ,"I would like to make a reservation for a double room.",Sự hủy bỏ,Khảo sát ý kiến,Giấy xác nhận thanh toán
