Word,Phonetic,Meaning,POS,Example,Distractor1,Distractor2,Distractor3
Breakfast,/ˈbrek.fəst/,Bữa sáng,Danh từ,"I eat eggs for breakfast every morning.",Bữa tối,Bữa trưa,Bữa ăn nhẹ
Delicious,/dɪˈlɪʃ.əs/,Thơm ngon,Tính từ,"This pizza is very delicious.",Cay đắng,Hôi hám,Nhạt nhẽo
Restaurant,/ˈres.trɒnt/,Nhà hàng,Danh từ,"We are having dinner at a French restaurant.",Bệnh viện,Thư viện,Trường học
Coffee,/ˈkɒf.i/,Cà phê,Danh từ,"Would you like a cup of hot coffee?",Trà hoa cúc,Nước ép táo,Sữa tươi
Apple,/ˈæp.əl/,Quả táo,Danh từ,"An apple a day keeps the doctor away.",Quả chuối,Quả cam,Quả dưa hấu
Water,/ˈwɔː.tər/,Nước uống,Danh từ,"Please drink plenty of water every day.",Rượu vang,Bia,Nước ngọt có ga
Bread,/bred/,Bánh mì,Danh từ,"I usually eat bread with butter.",Cơm trắng,Bún tươi,Phở bò
Chicken,/ˈtʃɪk.ɪn/,Thịt gà,Danh từ,"Fried chicken is my favorite food.",Thịt bò,Thịt lợn,Thịt cừu
Vegetable,/ˈvedʒ.tə.bəl/,Rau củ,Danh từ,"Eating vegetables is good for your health.",Trái cây,Bánh kẹo,Đồ uống
Sugar,/ˈʃʊɡ.ər/,Đường ăn,Danh từ,"Do you add sugar to your tea?",Muối ăn,Hạt tiêu,Nước mắm
Soup,/suːp/,Món súp / canh,Danh từ,"Hot soup is great on cold winter days.",Bánh ngọt,Đồ nướng,Kem tươi
Menu,/ˈmen.juː/,Thực đơn,Danh từ,"Could you bring me the menu, please?",Hóa đơn,Thẻ ngân hàng,Giấy khen
Recipe,/ˈres.ə.pi/,Công thức nấu ăn,Danh từ,"She follows a secret recipe to bake cakes.",Hợp đồng,Đơn thuốc,Bản đồ
Chef,/ʃef/,Đầu bếp,Danh từ,"The chef prepares dinner for fifty guests.",Bác sĩ,Kỹ sư,Phi công
Kitchen,/ˈkɪtʃ.ən/,Nhà bếp,Danh từ,"My mother is cooking in the kitchen.",Phòng khách,Phòng ngủ,Sân thượng
