Word,Phonetic,Meaning,POS,Example,Distractor1,Distractor2,Distractor3
Pain,/pɛ̃/,Bánh mì,Danh từ,Je mange du pain au petit-déjeuner.,Bánh ngọt,Món súp,Thịt bò
Eau,/o/,Nước uống,Danh từ,Une bouteille d'eau s'il vous plaît.,Rượu vang,Sữa,Nước trái cây
Fromage,/fʁɔ.maʒ/,Phô mai,Danh từ,La France est célèbre pour son fromage.,Bơ,Sữa chua,Trứng
Pomme,/pɔm/,Quả táo,Danh từ,J'aime manger une pomme rouge.,Quả cam,Quả chuối,Quả dâu
Poulet,/pu.lɛ/,Thịt gà,Danh từ,Le poulet rôti est très délicieux.,Thịt bò,Thịt heo,Cá
Poisson,/pwa.sɔ̃/,Cá (thực phẩm),Danh từ,Nous mangeons du poisson frais.,Thịt gà,Hải sản,Tôm
Soupe,/sup/,Món súp / Canh,Danh từ,En hiver j'adore la soupe chaude.,Món nướng,Món xào,Món salad
Café,/ka.fe/,Cà phê,Danh từ,Il prend un café le matin.,Trà,Sữa,Nước cam
Thé,/te/,Trà,Danh từ,Voulez-vous une tasse de thé ?,Cà phê,Nước suối,Rượu
Cuisine,/kɥi.zin/,Nhà bếp / Ẩm thực,Danh từ,J'aime la cuisine française.,Phòng khách,Nhà hàng,Quán ăn
Repas,/ʁə.pa/,Bữa ăn,Danh từ,Le repas est prêt sur la table.,Món ăn,Đồ uống,Thực đơn
Menu,/mə.ny/,Thực đơn,Danh từ,Regardons le menu du restaurant.,Hóa đơn,Bàn ăn,Đĩa thức ăn
Dessert,/de.sɛʁ/,Món tráng miệng,Danh từ,Comme dessert je prends une tarte.,Món khai vị,Món chính,Đồ uống
Sucre,/sykʁ/,Đường (gia vị),Danh từ,N'ajoutez pas trop de sucre.,Muối,Tiêu,Dầu ăn
Sel,/sɛl/,Muối (gia vị),Danh từ,Passe-moi le sel s'il te plaît.,Đường,Bơ,Nước mắm
Cuire,/kɥiʁ/,Nấu / Nướng,Động từ,Il faut cuire les légumes.,Rửa,Cắt,Ăn
Boire,/bwaʁ/,Uống,Động từ,Qu'est-ce que tu veux boire ?,Ăn,Nấu,Đặt món
Manger,/mɑ̃.ʒe/,Ăn,Động từ,Nous allons manger au restaurant.,Uống,Trả tiền,Mua
Délicieux,/de.li.sjø/,Ngon miệng,Tính từ,Ce gâteau est vraiment délicieux.,Dở,Cay,Đắng
Chaud,/ʃo/,Nóng / Ấm (thức ăn),Tính từ,Servez ce plat très chaud.,Lạnh,Tươi,Ngọt
