Word,Phonetic,Meaning,POS,Example,Distractor1,Distractor2,Distractor3
Breakfast,/ˈbrek.fəst/,Bữa sáng,Danh từ,"I usually eat eggs and toast for breakfast.",Bữa tối,Bữa trưa,Bữa ăn nhẹ
Delicious,/dɪˈlɪʃ.əs/,Thơm ngon,Tính từ,"This soup is very warm and delicious.",Cay đắng,Chua chát,Nhạt nhẽo
Restaurant,/ˈres.tər.ɑːnt/,Nhà hàng,Danh từ,"We had dinner at a famous seafood restaurant.",Bệnh viện,Thư viện,Trường học
Menu,/ˈmen.juː/,Thực đơn,Danh từ,"Could you please bring us the menu?",Hóa đơn,Thẻ thanh toán,Giấy khen
Recipe,/ˈres.ə.pi/,Công thức nấu ăn,Danh từ,"My grandmother gave me her secret cake recipe.",Hợp đồng,Đơn thuốc,Bản đồ
Chef,/ʃef/,Đầu bếp,Danh từ,"The chef is preparing a special dish for the guests.",Bác sĩ,Kỹ sư,Phi công
Ingredient,/ɪnˈɡriː.di.ənt/,Nguyên liệu,Danh từ,"Fresh vegetables are the key ingredient in this salad.",Dụng cụ,Gia vị,Bát đĩa
Dessert,/dɪˈzɝːt/,Món tráng miệng,Danh từ,"We ordered ice cream for dessert.",Món khai vị,Món chính,Đồ uống
Appetizer,/ˈæp.ə.taɪ.zɚ/,Món khai vị,Danh từ,"Soup is served as an appetizer before the main course.",Món tráng miệng,Món chính,Đồ uống
Beverage,/ˈbev.ɚ.ɪdʒ/,Đồ uống,Danh từ,"Fruit juice is a refreshing beverage on hot days.",Món ăn mặn,Bánh ngọt,Gia vị
