Word,Phonetic,Meaning,POS,Example,Distractor1,Distractor2,Distractor3
Conveyance,/kənˈveɪ.əns/,Phương tiện vận chuyển / Sự chuyên chở,Danh từ,"Public conveyance is heavily subsidized to encourage residents to leave their cars at home.",Sự phân phối hàng hóa,Nơi neo đậu tàu thuyền,Tuyến đường sắt cao tốc
Thoroughfare,/ˈθʌr.ə.feər/,Trục đường giao thông chính / Tuyến đường huyết mạch,Danh từ,"The city council decided to pedestrianize several major thoroughfares to curb carbon emissions.",Đường hầm dành cho người đi bộ,Trạm dừng xe buýt nội đô,Lối vào bãi đỗ xe ngầm
Vessel,/ˈves.əl/,Tàu thuyền lớn (đường thủy / đường biển),Danh từ,"The ocean-going vessel was equipped with cutting-edge navigational and satellite systems.",Xe bọc thép lội nước,Trạm tiếp nhiên liệu cảng,Sân đỗ trực thăng trên biển
Locomotive,/ˌləʊ.kəˈməʊ.tɪv/,Đầu máy xe lửa,Danh từ,"The vintage steam locomotive was painstakingly restored to pull heritage excursion trains.",Toa hành khách hạng sang,Hệ thống ray chuyển hướng,Trạm gác chắn tự động
Fleet,/fliːt/,Đội xe / Đội tàu thuyền,Danh từ,"The municipal transport authority is transitioning its bus fleet to zero-emission vehicles.",Xưởng bảo dưỡng đầu máy,Bãi trung chuyển hàng hóa,Tuyến vận tải đường sông
Gridlock,/ˈɡrɪd.lɒk/,Tình trạng giao thông tê liệt / Ùn tắc nghiêm trọng,Danh từ,"A major breakdown on the suspension bridge caused total gridlock across the metropolitan area.",Tai nạn liên hoàn,Hệ thống đèn tín hiệu,Làn đường dành riêng cho xe buýt
Freight,/freɪt/,Hàng hóa chuyên chở / Vận tải hàng hóa,Danh từ,"Rail networks offer an energy-efficient alternative for moving bulk freight across continents.",Vé hành khách khứ hồi,Phí cầu đường cao tốc,Lịch trình chạy tàu
Commuter,/kəˈmjuː.tər/,Người đi làm hằng ngày bằng phương tiện giao thông,Danh từ,"Thousands of suburban commuters rely on the commuter rail service to reach the downtown core.",Tài xế xe tải đường dài,Nhân viên điều phối bay,Khách du lịch quốc tế
Intermodal,/ˌɪn.təˈməʊ.dəl/,Đa phương thức (kết hợp nhiều loại hình vận tải),Tính từ,"The new logistics hub facilitates seamless intermodal transfers between rail, road, and sea.",Vận tải đường bộ đơn lẻ,Xe chuyên dụng nội bộ,Giao thông khép kín tốc độ cao
Autonomous,/ɔːˈtɒn.ə.məs/,Tự hành / Tự lái (không người điều khiển),Tính từ,"Autonomous shuttle buses are being trialed on university campuses to ferry students safely.",Chạy bằng pin nhiên liệu,Được điều khiển thủ công,Dùng chung công cộng
Submersible,/səbˈmɜː.sə.bəl/,Phương tiện lặn / Tàu lặn mini,Danh từ,"Oceanographers deployed a crewed submersible to inspect deep-sea hydrothermal vents.",Thủy phi cơ cứu hộ,Phao tiêu cảnh báo luồng,Giàn khoan thăm dò
Congestion,/kənˈdʒes.tʃən/,Sự ùn tắc / Tắc nghẽn giao thông,Danh từ,"Introducing congestion charges has successfully reduced vehicular traffic in the central zone.",Vận tốc tối đa cho phép,Khúc cua nguy hiểm,Biển báo phân làn đường
Hovercraft,/ˈhɒv.ə.krɑːft/,Tàu đệm khí (di chuyển lướt trên nước và đất),Danh từ,"Search and rescue teams used an amphibious hovercraft to navigate across shallow mudflats.",Thuyền buồm thể thao,Tàu ngầm tuần tra,Cano cao tốc đáy nông
Airworthiness,/ˈeəˌwɜː.ði.nəs/,Tiêu chuẩn an toàn bay / Tình trạng đủ điều kiện bay,Danh từ,"Every commercial airliner must be certified for airworthiness before entering scheduled service.",Trọng tải cất cánh tối đa,Sức chứa khoang hành khách,Tầm bay vượt đại dương
Pedestrianize,/pəˈdes.tri.ə.naɪz/,Chuyển thành phố đi bộ (cấm xe cơ giới),Động từ,"Urban planners plan to pedestrianize the historic city center to promote walking and cycling.",Mở rộng làn xe cơ giới,Lắp đặt trạm thu phí không dừng,Xây dựng cầu vượt cạn
Propulsion,/prəˈpʌl.ʃən/,Hệ thống đẩy / Lực đẩy động cơ,Danh từ,"Marine engineers are developing hybrid electric propulsion systems for modern cargo vessels.",Hệ thống giảm xóc khí nén,Cơ chế phanh hãm khẩn cấp,Cánh lướt gió khí động học
Detour,/ˈdiː.tʊər/,Đường vòng / Tuyến đường tránh tạm thời,Danh từ,"Motorists were advised to follow a signposted detour due to emergency resurfacing works.",Đường cao tốc trên cao,Làn dừng xe khẩn cấp,Trạm cân tải trọng tự động
Roadworthy,/ˈrəʊdˌwɜː.ði/,Đủ điều kiện an toàn lưu thông đường bộ,Tính từ,"Commercial vans must undergo stringent periodic inspections to confirm they remain roadworthy.",Có khả năng vượt địa hình,Tối ưu mức tiêu hao nhiên liệu,Chống lật khi vào cua gấp
Carpool,/ˈkɑː.puːl/,Đi chung xe / Chia sẻ chuyến đi,Động từ,"Commuters are encouraged to carpool on weekdays to mitigate rush-hour delays and lower fuel costs.",Thuê xe tự lái theo giờ,Gửi xe tại bãi trung chuyển,Đổi ca tài xế đường dài
Infrastructure,/ˈɪn.frəˌstrʌk.tʃər/,Cơ sở hạ tầng (giao thông),Danh từ,"Modernizing transport infrastructure is essential for sustaining long-term economic growth.",Doanh thu bán vé vận tải,Quy chuẩn xử phạt vi phạm,Thời gian biểu chuyển tuyến
